Institution,State,No. of visas revoked,Source link
Minnesota West Community and Technical College,Minnesota,1,"<a href=""https://apnews.com/education/map-international-student-us-visas-000001964532df1aa397e5f3b3ac0000#"">Click here</a><br>"
Ridgewater College,Minnesota,1,"<a href=""https://apnews.com/education/map-international-student-us-visas-000001964532df1aa397e5f3b3ac0000#"">Click here</a><br>"
Riverland Community College,Minnesota,1,"<a  href=""https://www.kttc.com/2025/04/10/students-react-after-riverland-students-visa-revoked-by-ice/"">Click  here</a>"
Saint Cloud State University,Minnesota,8,"<a href=""https://www.stcloudlive.com/news/local/visas-terminated-for-8-scsu-international-students"">Click here</a><br>"
South Central College,Minnesota,1,"<a  href=""https://www.mankatofreepress.com/news/local_news/south-central-college-student-had-visa-revoked-tuesday/article_6dae9012-1a7b-4801-8440-d28ee838f978.html"">Click  here</a>"
Southwest Minnesota State University,Minnesota,3,"<a href=""https://www.newsweek.com/aditya-harsono-detained-ice-hospital-student-visa-2059471"">Click here</a><br>"
University of Minnesota,Minnesota,11,Email to <i> Inside Higher Ed </i>
Winona State University,Minnesota,1,"<a  href=""https://www.kaaltv.com/news/winona-state-university-grad-gets-visa-revoked/"">Click  here</a>"
Southeastern Community College,Mississippi,2,"<a href=""https://www.mississippivalleypublishing.com/daily_gate/scc-issues-statement-on-international-students-visa-cancellations/article_03fbf985-0a93-43dd-84fc-1ba381c5862b.html"">Click here</a>"
Central Methodist University,Missouri,1,"<a href=""https://krcgtv.com/news/local/students-at-mizzou-central-methodist-affected-by-visa-terminations"">Click here</a>"
Drury University,Missouri,1,"<a href=""https://sgfcitizen.org/schools/springfield-colleges-universities/drury-university-says-international-student-has-visa-revoked/"">Click here</a><br>"
Lindenwood University,Missouri,unknown,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
Missouri State University,Missouri,6,"<a  href=""https://sgfcitizen.org/schools/springfield-colleges-universities/visas-of-6-international-msu-students-have-been-revoked/"">Click  here</a>"
Northwest  Missouri State University,Missouri,43,"<a  href=""https://fox4kc.com/news/international-student-visas-revoked-at-northwest-missouri-state-university/amp/"">Click  here</a>"
Park University,Missouri,2,Email to <i> Inside Higher Ed </i>
Southeast Missouri State University,Missouri,24,"<a href=""https://www.semissourian.com/news/sevis-terminations-at-semo-leave-international-students-facing-loss-of-legal-status-c60ad462"">Click here></a><br>"
Southwest  Missouri State University,Missouri,1,"<a  href=""https://www.startribune.com/marshall-mans-student-visa-revocation-detention-might-be-linked-to-george-floyd-protest/601328785"">Click  here</a>"
St. Louis University,Missouri,1,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
University of Missouri,Missouri,unknown,"<a  href=""https://krcgtv.com/news/local/mu-international-students-become-targets-for-immigration-status-changes"">Click  here</a>"
Washington University in St.  Louis,Missouri,unknown,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
"Webster University, St. Louis",Missouri,18,"<a  href=""https://www.stltoday.com/news/local/education/article_62d1563d-6d95-4d1d-951d-4447c528aa71.html"">Click  here</a>"
Montana State University,Montana,3,Email to <i> Inside Higher Ed </i>
University of Montana,Montana,1,"<a  href=""https://dailymontanan.com/2025/04/11/visas-revoked-for-four-international-students-at-flagship-montana-universities/"">Click  here</a>"
University of Nebraska-Lincoln,Nebraska,3,"<a href=""https://www.klkntv.com/three-university-of-nebraska-students-have-had-visas-revoked/"">Click here</a><br>"
"University of Nevada, Las  Vegas",Nevada,4,"<a  href=""https://lasvegassun.com/news/2025/apr/08/four-unlv-international-students-wrapped-up-in-tru/"">Click  here</a>"
Dartmouth College,New Hampshire,1*,"<a  href=""https://www.thedartmouth.com/article/2025/04/sharma-dartmouth-students-immigration-status-abruptly-revoked"">Click  here</a>"
New England College,New Hampshire,1,"<a  href=""https://www.fox5atlanta.com/news/17-international-students-georgia-accuse-ice-violating-due-process-visa-revocation"">Click  here</a>"
Southern New Hampshire  University,New Hampshire,unknown,"<a  href=""https://www.bostonglobe.com/2025/04/10/metro/international-students-new-hampshire-visas-revoked/"">Click  here</a>"
University of New Hampshire,New Hampshire,3,"<a  href=""https://www.wmur.com/article/unh-new-hampshire-sevis/64458256"">Click  here</a>"
Montclair State University,New Jersey,4,"<a  href=""https://www.njspotlightnews.org/video/why-were-student-visas-revoked-for-international-students-in-nj/"">Click  here</a>"
Princeton University,New Jersey,2,"<a href=""https://www.dailyprincetonian.com/article/2025/04/princeton-news-stlife-visas-revoked-grad-student-post-doc-april"">Click here</a><br>"
Rowan University,New Jersey,8,"<a  href=""https://www.nj.com/news/2025/04/feds-yank-visas-for-8-international-students-at-another-nj-college-in-alarming-trend.html"">Click  here</a>"
Rutgers University,New Jersey,14,"<a href=""https://newjerseymonitor.com/wp-content/uploads/2025/04/rutgers-ice-visa.pdf"">Click here</a>"
New  Mexico Institute of Mining and Technology,New Mexico,1,"<a  href=""https://www.abqjournal.com/news/article_7290d284-20b8-4c37-bb31-e9679217a76b.html"">Click  here</a>"
New Mexico State University,New Mexico,9,"<a  href=""https://www.krqe.com/news/education/3-more-nmsu-international-students-visas-revoked/"">Click  here</a>"
University of New Mexico,New Mexico,unknown,"<a  href=""https://www.abqjournal.com/news/article_7290d284-20b8-4c37-bb31-e9679217a76b.html"">Click  here</a>"
Binghamton University,New York,5,"<a  href=""https://www.bupipedream.com/news/at-least-five-student-visas-have-been-revoked-university-confirms/165800/"">Click  here</a>"
City University of New York,New York,17,"<a  href=""https://www.nydailynews.com/2025/04/09/trump-administration-cancels-dozens-of-student-visas-at-nyu-cuny-other-ny-schools/"">Click  here</a>"
Columbia University,New York,7,"<a  href=""https://www.columbiaspectator.com/news/2025/04/06/federal-government-terminates-visas-of-four-international-students-university-says/"">Click  here</a>"
Cornell University,New York,26,"<a href=""https://ithacavoice.org/2025/04/more-sevis-terminations-visa-revocations-hit-cornells-international-students/"">Click here</a>"
CUNY Lehman College,New York,1,"<a  href=""https://www.bxtimes.com/international-student-visas-revoked-at-lehman-college-fordham-university/"">Click  here</a><br>"
Fordham University,New York,4,"<a  href=""https://www.bxtimes.com/international-student-visas-revoked-at-lehman-college-fordham-university/"">Click  here</a><br>"
New York Institute of Tech,New York,1,"<a  href=""https://www.fox5atlanta.com/news/17-international-students-georgia-accuse-ice-violating-due-process-visa-revocation"">Click  here</a>"
New York University,New York,unknown,"<a  href=""https://nyunews.com/news/2025/04/09/immigration-status-terminated-nyu/"">Click  here</a>"
Rensselaer Polytechnic  Institute,New York,3,Email to <i> Inside Higher Ed </i>
Rochester Institute of Technology,New York,8,"<a href=""https://www.wxxinews.org/local-news/2025-04-23/rit-international-students-sue-trump-administration-over-lost-legal-status"">Click here</a>"
Siena College,New York,1,Email to <i> Inside Higher Ed </i>
St. Bonaventure  University,New York,1,"<a  href=""https://www.tapinto.net/towns/greater-olean/articles/st-bonaventure-responds-to-student-visa-revocation"">Click  here</a>"
